epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0335,1.15884,2.62851,1.57097,0.00303,1,0.32255,0.13747,0.53119,3.2647,1.40709,2e-05,2e-05,2e-05
2,22.6185,0.94111,2.5131,1.40299,0.00303,1,0.45512,0.25398,0.51041,3.24147,1.37565,5.9406e-05,5.9406e-05,5.9406e-05
3,33.1015,0.7222,2.3626,1.28093,0.00303,1,0.61307,0.37087,0.51087,3.22431,1.35129,9.802e-05,9.802e-05,9.802e-05
4,43.5267,0.65104,2.17532,1.24632,0.00303,1,0.76936,0.48664,0.56409,3.2125,1.36898,0.000135842,0.000135842,0.000135842
5,53.9229,0.61235,1.82414,1.21137,0.00303,1,0.91284,0.61249,0.63263,3.12123,1.44458,0.000172872,0.000172872,0.000172872
6,64.1057,0.72014,1.71541,1.38826,0.00303,1,0.94243,0.62896,0.69657,2.99385,1.49984,0.00020911,0.00020911,0.00020911
7,74.8958,0.76425,1.24433,1.29993,0.00303,1,0.945,0.7067,0.61466,2.95891,1.41185,0.000244556,0.000244556,0.000244556
8,86.2186,0.64579,1.06385,1.16453,0.00303,1,0.87517,0.60102,0.6938,3.07484,1.44124,0.00027921,0.00027921,0.00027921
9,97.1444,0.64139,1.0634,1.19573,0.00303,1,0.8704,0.60394,0.75375,3.11661,1.52504,0.000313072,0.000313072,0.000313072
10,108.059,0.80813,1.06248,1.33219,0.00303,1,0.97025,0.70183,0.75656,3.0135,1.55441,0.000346142,0.000346142,0.000346142
11,118.438,0.69795,0.96594,1.26589,1,0.83163,0.99024,0.74551,0.71421,2.86197,1.52246,0.00037842,0.00037842,0.00037842
12,129.328,0.74856,1.19951,1.29639,0.98902,0.9,0.99024,0.76526,0.76082,2.734,1.56999,0.000409906,0.000409906,0.000409906
13,139.821,0.68469,1.06645,1.1963,0.99025,0.9,0.99024,0.75227,0.82864,2.60956,1.72852,0.0004406,0.0004406,0.0004406
14,150.277,0.69441,0.95171,1.17451,1,0.9137,0.99262,0.71504,0.8471,2.5471,1.74801,0.000470502,0.000470502,0.000470502
15,160.714,0.77904,0.9377,1.29215,0.99359,0.95,0.97441,0.7398,0.74483,2.63126,1.51015,0.000499612,0.000499612,0.000499612
16,172.012,0.60555,0.9468,1.16293,0.89363,0.84056,0.95086,0.72625,0.64823,2.79888,1.33513,0.00052793,0.00052793,0.00052793
17,182.211,0.71486,1.04161,1.1938,0.89846,0.88539,0.92936,0.59346,0.89791,2.90592,1.59729,0.000555456,0.000555456,0.000555456
18,192.978,0.73824,1.00423,1.22371,0.87166,0.95,0.92058,0.49356,1.18054,2.92477,1.84339,0.00058219,0.00058219,0.00058219
19,203.777,0.6631,0.92229,1.1458,0.9497,0.94439,0.96076,0.51338,1.08107,2.98334,1.66925,0.000608132,0.000608132,0.000608132
20,214.567,0.6991,0.96722,1.21655,0.98392,0.95,0.98667,0.66869,0.85487,2.58906,1.63194,0.000633282,0.000633282,0.000633282
21,225.805,0.55996,0.91284,1.13224,0.93022,1,0.98786,0.73165,0.82033,2.28211,1.61293,0.00065764,0.00065764,0.00065764
22,236.472,0.53427,0.83366,1.13266,0.89906,1,0.99045,0.69534,0.91534,2.35991,1.6604,0.000681206,0.000681206,0.000681206
23,247.491,0.66689,1.03231,1.18403,0.85646,0.95,0.97238,0.63747,1.03744,2.71876,1.80636,0.00070398,0.00070398,0.00070398
24,257.623,0.58372,0.86559,1.14425,0.74735,0.95,0.93187,0.43504,1.3729,3.00197,2.13303,0.000725962,0.000725962,0.000725962
25,267.481,0.80658,1.24442,1.35802,0.87273,0.8,0.92805,0.4711,1.32877,2.91846,2.1553,0.000747152,0.000747152,0.000747152
26,277.63,0.60306,0.90381,1.11787,0.84585,0.85,0.91616,0.48373,1.09765,2.83035,1.8462,0.00076755,0.00076755,0.00076755
27,287.723,0.57472,0.88185,1.13979,0.86273,0.9,0.96763,0.6544,0.81929,2.37453,1.58884,0.000787156,0.000787156,0.000787156
28,297.972,0.67214,0.9218,1.17231,0.86273,0.9,0.96763,0.6544,0.81929,2.37453,1.58884,0.00080597,0.00080597,0.00080597
29,308.052,0.62731,0.94163,1.13139,0.93347,1,0.98548,0.81523,0.72544,2.02397,1.51808,0.000823992,0.000823992,0.000823992
30,318.578,0.68184,1.00157,1.21785,0.94458,0.95,0.97226,0.79253,0.7545,1.94716,1.60242,0.000841222,0.000841222,0.000841222
31,329.538,0.66644,0.85883,1.17127,0.94458,0.95,0.97226,0.79253,0.7545,1.94716,1.60242,0.00085766,0.00085766,0.00085766
32,339.788,0.65336,0.82606,1.13647,0.94755,0.90348,0.96882,0.80529,0.73588,1.93008,1.50588,0.000873306,0.000873306,0.000873306
33,350.197,0.59817,0.84148,1.10998,0.98461,0.9,0.96262,0.82557,0.6721,1.9946,1.41337,0.00088816,0.00088816,0.00088816
34,361.058,0.73548,0.91461,1.28672,0.98461,0.9,0.96262,0.82557,0.6721,1.9946,1.41337,0.000902222,0.000902222,0.000902222
35,371.297,0.55292,0.80515,1.06396,0.92243,0.85,0.88352,0.72152,0.67861,1.94929,1.4632,0.000915492,0.000915492,0.000915492
36,381.737,0.62881,0.87961,1.17092,0.92179,0.75,0.91756,0.72317,0.80808,2.04276,1.60763,0.00092797,0.00092797,0.00092797
37,392.088,0.66089,0.79667,1.14961,0.92179,0.75,0.91756,0.72317,0.80808,2.04276,1.60763,0.000939656,0.000939656,0.000939656
38,402.195,0.68016,0.96424,1.25623,0.82207,0.8,0.92274,0.71669,0.81009,2.14527,1.59913,0.00095055,0.00095055,0.00095055
39,412.211,0.58763,0.83468,1.19301,0.7364,0.75,0.84694,0.61956,0.9084,2.07467,1.8001,0.000960652,0.000960652,0.000960652
40,422.121,0.6083,0.73893,1.15443,0.7364,0.75,0.84694,0.61956,0.9084,2.07467,1.8001,0.000969962,0.000969962,0.000969962
41,432.66,0.57117,0.73832,1.04927,0.77002,0.8,0.85161,0.62308,0.96407,2.18134,1.85695,0.00097848,0.00097848,0.00097848
42,442.619,0.65537,0.7858,1.11911,0.7121,0.6,0.7132,0.54138,0.91123,2.32683,1.74448,0.000986206,0.000986206,0.000986206
43,452.556,0.68037,0.78305,1.15251,0.7121,0.6,0.7132,0.54138,0.91123,2.32683,1.74448,0.00099314,0.00099314,0.00099314
44,462.842,0.59616,0.83409,1.09131,0.53938,0.85,0.59022,0.33923,1.47901,2.84735,2.24133,0.000999282,0.000999282,0.000999282
45,472.763,0.61656,1.02836,1.17637,0.53938,0.85,0.59022,0.33923,1.47901,2.84735,2.24133,0.00100463,0.00100463,0.00100463
46,482.782,0.51285,0.72119,1.05553,0.78877,0.934,0.90304,0.31701,1.65827,3.13462,2.22243,0.00100919,0.00100919,0.00100919
